Textos_espanol,sdg
"Partiendo base conectividad Estados tratado requisito previo traduccion impacto, capitulo introduce conceptos conectividad principio sustantiva. El primero estA¡ compuesto ratificaciA3n ConvenciA3n EliminaciA3n Todas Formas DiscriminaciA3n Mujer (CEDAW), reservas ratificaciA3n Protocolo Facultativo (OP). El segundo estA¡ compuesto hA¡bitos presentaciA3n informes Estados Partes frecuencia diA¡logo ComitA©. Este capAtulo pregunta si niveles conectividad dependen alguna siguientes caracterAsticas: pertenencia determinada regiA3n mundo, tipo rA©gimen nivel igualdad gA©nero facto nivel nacional. El capitulo revela mas Estados alcanzado alto nivel conectividad principios conectividad sustantiva significativa. Esto debe principalmente disciplina presentacion informes mayoria Estados Partes optima.",16
"En ultimas decadas producido enorme explosion uso proveedores seguridad privada parte gobiernos, industria, ONU organizaciones humanitarias. Mientras tanto, rendicion cuentas empresas personal violaciones derechos humanos seguido mismo ritmo. Algunos investigadores sugieren proveedores seguridad privada funcionan zona gris derecho internacional publico, documento sugerimos regulacion internacional existe soft low internacional podria transformarse hard law.",7
"Este documento evalAoa quA© punto soluciones Derecho civil neerlandA©s complementan aumentan objetivos polAtica pAoblica subyacen penalizaciA3n corrupciA3n transacciones comerciales internacionales. Con fin, explora consecuencias contractuales extracontractuales contratos manchados corrupcion, asi normas Derecho internacional privado entran juego relacion dichos contratos ""corruptos"" Derecho neerlandes.",16
"Es probable costes asociados perdida continuada biodiversidad importantes, repercusiones (en terminos perdida bienestar) reflejan precios mercado. Observese numero personas carecen acceso agua potable superior carecen acceso suministro basico agua. Otros casos contaminacion, mas episodicos, afectan aluminio (causante enfermedades neurodegenerativas) plomo (enfermedades endemicas sistema nervioso).",16
"Esta flexibilidad significa valor central queda necesariamente varado si cambian condiciones reguladoras econA3micas. Sin embargo, general, menos parte valor activo puede riesgo. Sin embargo, economAa polAtica capital bloqueado compleja. Aunque todas empresas energA©ticas saben algAon momento tendrA¡n desviarse trayectoria habitual, plazos cambiar trayectoria emisiones (especialmente paAs rA©gimen regulador determinado) bastante inciertos.",7
"Como muestra capitulo anterior, sumas implicadas pueden ser considerables, alcanzando 50% costes inversion nivel planta nuevas inversiones generacion energia, particular eolica marina, sufre elevados costes conexion red. No obstante, cuestion puede tratarse punto vista institucional marcos reguladores existentes. Partiendo capitulos anteriores, caracter mas tecnico, capitulo examina idoneidad disposiciones actuales futuras evoluciones necesarias sectores electricos paises OCDE optimizar prestacion ""servicios flexibilidad"" elevada volatilidad carga gran cantidad energias renovables variables.",7
"La investigacion dimensiones deliberativas democracia sido notablemente productiva ultima decada, dando lugar nuevos conocimientos funciona deliberacion numerosos foros politicos constituyen democracias contemporaneas. Las teorias normativas democracia deliberativa justificado y, ocasiones, inspirado amplia gama nuevos desarrollos institucionales, jurados ciudadanos, reuniones partes interesadas, sondeos deliberativos foros deliberativos legislacion libertad informacion potencia deliberacion publica (Chambers, 2003, Gastil Levine, 2005, Parkinson, 2006). La afirmacion clave teorias deliberativas democracia sencilla convincente: enfoques deliberativos decisiones colectivas condiciones conflicto producen mejores decisiones resultantes medios alternativos hacer politica: coercion, deferencia tradicional mercados. Es probable decisiones resultantes deliberacion mas legitimas, mas razonables, mas informadas, mas eficaces mas viables politicamente (Cohen, 1996, Habermas, 1996, Gutmann Thompson, 1996, Bohman, 1998).",16
"En Australia gran impulso hacia ley estatal nacional derechos humanos, pocas personas, aparte abogados, reclaman. Una ley derechos humanos bien obvio, obviamente necesario. Un analisis sociedad australiana contemporanea establecer necesidad forma ley derechos humanos. Solo entonces apropiada campana adopcion. Los abogados abogan ley derechos humanos deben demostrar humildad profesional, deferencia hacia profesionales aguda apreciacion lugar mas eficaz movimiento cambio social puede ser apoyar movilizacion coalicion mas amplia defensores ciudadanos.",7
"El movimiento moderno estudios juridicos empiricos antecedentes bien conocidos tradiciones derecho sociedad derecho economia segunda mitad siglo XX. Menos conocido conjunto investigaciones empiricas fenomenos juridicos periodo anterior Segunda Guerra Mundial. Este articulo extenso ensayo bibliografico examina investigacion juridica empirica lengua inglesa aproximadamente 1940 antes. El articulo organiza torno temas investigacion: justicia penal, justicia civil (estudios generales litigios civiles, litigios indemnizaciones accidentes automovil, divorcio, demandas menor cuantia, jurisdiccion procedimiento, jurados civiles), deuda quiebra, banca, tribunales apelacion, necesidades juridicas, profesion juridica (incluida educacion juridica), dotacion seleccion personal judicial. Acompana articulo extensa bibliografia articulos investigacion, libros informes.",6
"Regular riesgos incertidumbre cientifica plantea reto particular responsables politicos. Estos problemas amplifican decisiones adoptan marco gobernanza supranacional varios niveles. La regulacion organismos modificados geneticamente (OMG) Union Europea constituye cuestion especialmente destacada gobernanza riesgo escenario multilateral, tema politicamente visible toma decisiones lenta controvertida. Ademas, autoridad dispersa multiples actores, gobernanza europea riesgo necesita mecanismos adecuados garanticen responsables toma decisiones justifiquen den cuenta comportamiento. Mientras aspectos legitimidad gobernanza OGM sido ampliamente examinados, relaciones rendicion cuentas ambito gobernanza riesgo OGM sido ahora escasamente exploradas. Por ello, documento analiza cuestion puede exigir responsabilidades marco complejo sistema gobernanza supranacional riesgo. En afirma mera adhesion agentes pr...",7
"La base convencional mayoria derechos humanos internacionales, combinada dualismo sistemas juridicos common law, hace menudo considere derechos humanos internacionales reductos mas arraigados modelo tradicional. En muchas jurisdicciones common law, casos menos controvertidos recurso interno tunortodoxo derechos humanos internacionales encuentran adjudicacion constitucional. El ejemplo mas explicito relacion distintiva normas internacionales derechos humanos constituciones posguerra encuentra Constitucion sudafricana. El ejemplo mas explicito relacion distintiva normas internacionales derechos humanos constituciones posguerra encuentra Constitucion sudafricana. Los derechos humanos internacionales expresados diversos tratados pueden, mediante acto ratificacion, llegar ejercer efecto interno obligatorio. Sin embargo, veces tribunales tambien insisten relevancia normas internacionales derechos humanos razon. Palabras clave: adjudicacion constitucional, derechos humanos internacionales, ratificacion, ortodoxo",16
"Este articulo examina retrasos sistema justicia penal. El tiempo medida justicia. Cuanto mas tarda caso, menos posibilidades corregir fallos tecnicos procedimientos administrativos localizar testigos, victimas posibles agresores. Si demasiado corto, corre riesgo contravenir derechos consagrados Constitucion brasilena leyes penales, produciendo asi injusticia lugar justicia. Para ciudadanos comunes, tiempo lugar memoria colectiva. Cuando pueden establecer vinculos delito cometido aplicacion sanciones penales, sienten aplicado justicia, confiere credibilidad instituciones responsables justicia retributiva. Este articulo explora afirmaciones traves estudio empirico investigaciones penales realizadas establecer responsabilidad penal linchamientos perpetrados Sao Paulo 1980 1989.",16
"Comentario, referencia jurisprudencia britA¡nica estadounidense, considerando principio jurAdico internacional prohAbe tortura uso probatorio frutos tortura tal establece Convenio Europeo Derechos Humanos enfoques proteger sociedad contexto riesgo real terrorismo. Articulo Dr. Kern Alexander publicado Amicus Curiae - Journal of the Society for Advanced Legal Studies at the Institute of Advanced Legal Studies. La revista producida SALS IALS (Institute of Advanced Legal Studies, School of Advanced Study, University of London).",16
"Las revelaciones relativas vigilancia mundial datos comunicaciones masivas ilustrado claramente escasez regulacion juridica ambito. La vigilancia afecta casi inevitablemente derecho intimidad, tal naturaleza notoriamente nebulosa intimidad, especialmente escala internacional, proporciona suficientes salvaguardias abusos estatales capacidad vigilancia. Ante preocupaciones seguridad nacional, privacidad parece quedar relegada rutinariamente ser obstaculo incomodo. La capacidad Estados Unidos Reino Unido llevar cabo vigilancia enorme escala puesto manifiesto solo insuficiencias propios marcos normativos nacionales, sino tambien facilidad que, traves moderna tecnologia comunicaciones, puede llevarse cabo vigilancia mundial restricciones. En articulo analizan cuestiones examina marco normativo internacional deberia aplicarse vigilancia lleve cabo acuerdo Estado Derecho demo...",7
"Este ensayo analiza libro Dennis Baker Not Quite Supreme: The Courts and Coordinate Constitutional Interpretation (McGill-Queen's University Press, 2010). El libro Baker deberAa sorprender aquellos juristas demasiado interesados descartar constitucionalismo coordinado irrelevante mal orientado. Aunque pretensiA3n Aoltima Baker puede quedarse corta, libro ofrece relato intrigante separaciA3n constitucional poderes CanadA¡ insinAoa posibilidades productivas interpretaciA3n coordinada. Puede Not Quite Supreme Baker convenza todo, contribuye ideas importantes actual debate disciplinas democracia, revision judicial Carta.",16
"La PPA encargo tambien KEMA International 2012 estudio cuantificar perdidas energia sistema electrico empresas servicios publicos Pacifico Sur, incluia pequenos Estados Commonwealth Pacifico excepto Vanuatu (PPA KEMA 2012). Tras recientemente finalizado Programa Etiquetado Normalizacion Electrodomesticos Pacifico, cuyo objetivo aumentar importacion venta electrodomesticos mas eficientes punto vista energetico, aplicando Estrategia Iluminacion Eficiente Pacifico (PELS, siglas ingles) contribuir transicion Pacifico hacia iluminacion alta eficiencia respetuosa medio ambiente aqui 2020. El ahorro electricidad previsto mA¡s 2.100 gigavatios hora, ahorro asociado importaciA3n combustible 720 millones litros ahorro emisiones 1,9 2,0 toneladas mA©tricas equivalentes diA3xido carbono.",7
"Este trabajo realiza anA¡lisis comparativo sentencia juicios cuestionaron validez leyes garantizan impunidad sectores involucrados represiA3n polAtica dictaduras Seguridad Nacional. Para comparaciA3n, seleccionados dos casos anA¡lisis: ""Caso SimA3n"", juzgado junio 2005 Corte Suprema Justicia Argentina, ADPFA 153, juzgado abril 2010 Supremo Tribunal Federal Brasil. Se comparan decisiones y, despuA©s, intenta identificar quA© explica, verificando conexiA3n polAticas memoria implementado cada contexto.",16
"Las reformas legales toda AmA©rica Latina aumentado transparencia proceso justicia penal mejorado derechos acusados. Muchos estudiosos conjeturan dichas reformas tambiA©n mejoran ""buena gobernanza"" y, extensiA3n, desarrollo econA3mico. ParadA3jicamente, pesar tales afirmaciones, existen pocos estudios cuantitativos examinen efecto preciso dichas reformas legales. Utilizando conjuntos datos originales, comprueba impacto reformas penales Chile derechos delincuentes desarrollo econA3mico. Los resultados muestran reforma penal chilena mejorado derechos acusados reducir porcentaje personas encarceladas. La reforma efecto positivo actividad economica regional, efecto inversion extranjera directa nivel regional.",16
"La regulacion sector energetico controlada Comision Servicios Publicos (PUC). Sin embargo, aAon explotado ningAon emplazamiento gran escala, proyecto cataratas Amaila sigue estudio (GEA 2015b, The Economist 2013). La energia solar considera opcion viable llevar electricidad mas barata interior Guyana.",7
"Aunque declaraciones Consejo Seguridad Naciones Unidas Secretario General demuestran degradacion medioambiental acepta posible amenaza militar paz seguridad internacionales, ninguno documentos pertinentes procede considerar podria responder Consejo Seguridad nuevas amenazas fuentes inestabilidad conflicto. Este articulo examina evalua serie opciones dispone Consejo Seguridad caso miembros decidan abordar agenda mas detalle. Sostiene Carta Naciones Unidas, derecho internacional humanitario precedentes operativos proporcionan mandato ambiental Consejo Seguridad. Sin embargo, mas probable cualquier autorizacion uso fuerza limite crimenes guerra medio ambiente. Un papel medioambiental mas importante Consejo Seguridad reside diplomacia preventiva, resolucion conflictos reconstruccion postconflicto.",16
"La regiA3n tambiA©n beneficiarAa cooperaciA3n materia planificaciA3n energA©tica anA¡lisis proyectos, marcos agenda energA©tica sostenible formulaciA3n polAticas. Existen importantes oportunidades pasar sistemas energeticos mas limpios, embargo, capacidad adoptar nuevas tecnologias -a menudo denominada capacidad absorcion-, asi desarrollar nuevas tecnologias, encuentra principalmente pocos paises. La adopciA3n nuevas tecnologAas ser eficiente, menudo requiere economAas escala.",16
"El presente articulo objeto examinar si revision judicial, entendida control legalidad decisiones organos politicos organo judicial independiente, puede considerarse principio general Derecho naciones civilizadas terminos articulo 38(1)(c) Estatuto Corte Internacional Justicia (en adelante CIJ). Esta cuestion adquiere importancia si cuenta Carta Naciones Unidas (en sucesivo, Carta) aclara si CIJ derecho revisar resoluciones organos politicos organizacion, particular Consejo Seguridad.",7
"Resumen En respuesta atentados terroristas 11 septiembre 2001, producido varios cambios estatutarios normativos mejoran recogida uso informacion personal fines inteligencia policiales. Este articulo examina primer lugar visto afectados cambios determinados sectores, financiero, educativo, bibliotecas transportes, prestando especial atencion requisitos Ley USA PATRIOT. A continuacion, identifican cinco temas tendencias comunes, reduccion criterios sospecha individualizada debilitamiento salvaguardias judiciales, exploran efectos intimidad garantias procesales. Por ultimo, articulo analiza varias implicaciones politicas sociales reduccion generalizada proteccion intimidad frente terrorismo, incluida propuesta sistema nacional identificacion.",16
"Como tales, centrales nucleares contribuyen forma importante restablecimiento red caso apagones. En particular, centrales nucleares necesitan mas tiempo arrancar pueden variar duracion ciclo. Ademas, paises OCDE funcionamiento flexible centrales nucleares limitado autorizado autoridades nacionales seguridad, centrales nucleares solo pueden ofrecer flexibilidad limitada GRT. La inercia turbinas eolicas bastante baja, mientras solar fotovoltaica inercia.",7
"La atencion concepto flujos financieros ilicitos (FFI) creciendo debate politico junto lucha conexa actividades nocivas evasion fiscal, blanqueo dinero, trafico drogas, corrupcion financiacion terrorismo. Aunque concepto introdujo contexto economia desarrollo, ahora utiliza tambien campo estudios fiscales, criminologia evaluaciones politicas. Aun asi, existe ambiguedad cuanto interpretacion comprension real FFI. Este capitulo ofrece vision general literatura define conceptualiza FFI y, ultima instancia, aboga replanteamiento clarificacion parciales.",16
"RESUMENLa proteccion frente genocidio sido denominador comun retorica estatal 1948, adopto Convencion Genocidio. Sin embargo, rendicion cuentas Estados crimen arquetipico Estado practicamente inexistente. Este articulo aborda rompecabezas dos vertientes: (1) que, fecha, ningun gobierno implicado comision genocidio sido considerado responsable mismo, (2) procesos legales unico tribunal aborda disputas Estados materia genocidio, Corte Internacional Justicia, condicionan incluso limitan calidad decisiones adoptadas tribunal especial referencia responsabilidad Estado crimen. El analisis contribuye debate emergente aplicacion responsabilidad Estado relacion proteccion frente genocidio, poniendo relieve deficiencias existentes relacion interpretacion aplicacion Convencion Genocidio que, vez, justifica revision integral tratado.",16
"El actual resurgimiento mundial religion mas amplio choque civilizaciones impulsado extremismo religioso, terrorismo fundamentalismo. Este cambio cultural religioso global poniendo tela juicio interpretacion mundo moderno -lo significa ser moderno- medida diversos grupos sociales religiosos luchan encontrar vias alternativas modernidad. Este libro examina significa conceptos teorias clave relaciones internacionales -conflicto cooperacion internacionales, diplomacia, fomento sociedad civil, democracia, construccion nacional desarrollo economico- transformando. El libro sirve guia significa tomarse serio pluralismo cultural religioso siglo XXI.",7
"El presente documento propone interpretar diferencias sistemas juridicos paises common law tradicion juridica romanista resultado importancia concedida adjudicacion comparacion leyes estatutarias. Se centra costes relativos cambio juridico mediante adjudicacion (desarrollo jurisprudencia) comparacion legislacion (desarrollo derecho estatutario). El argumento principal preocupacion publica igualdad factor determinante coste relativo adjudicacion sistema juridico. Desarrollamos modelo proceso juridico ilustra intuicion fundamental Tocqueville respecto uniformidad normas juridicas y, consecuencia, importancia relativa adjudicacion legislacion.",7
"La Convencion Prevencion Sancion Delito Genocidio adopto Paris, 9 diciembre 1948, tercera sesion Asamblea General Naciones Unidas. La Convencion Genocidio primer tratado derechos humanos sistema moderno, codificando norma internacional protege derecho vida existencia minorias nacionales, etnicas, raciales religiosas. Muchos historiadores sociologos emplean termino genocidio describir serie atrocidades implican asesinato gran numero personas. El concepto juridico genocidio forjo crisol esfuerzos posteriores Segunda Guerra Mundial perseguir atrocidades nazis. La Convencion Genocidio sigue fascinando juristas, politicos, periodistas activistas derechos humanos. A principios 1945, genocidio crimenes humanidad terminos afines, ideados describir actos barbarie regimen nazi. Palabras clave:Convencion Genocidio, derechos humanos, humanidad, crimenes internacionales, regimen nazi",7
"Esta coleccion articulos aborda interconexiones castigo, ciudadania identidad. A medida ido entrecruzando medidas control inmigracion delincuencia, prisiones varios paises acabado albergando poblacion cada vez mayor delincuentes extranjeros inmigrantes detenidos. Resulta sorprendente criminologos dedicado tradicionalmente tan tiempo explorar relacion prision identidad nacional. Con notables excepciones, estudiosos tratan casi universalmente prision institucion limitada dentro Estado-nacion. Este numero especial pretende romper convencion estudios penitenciarios criminologia general. Centrandose encarcelamiento extranjeros diversos contextos, contribuciones numero sostienen colectivamente prision proyeccion soberania nacional expresion poder estatal. Tambien espacio concreto manifiestan desigualdades globales. Cuando considera punto vista ciudadani...",16
